epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9993.98,0.32338,0.32644,0.83411,0.99153,0.99242,0.99432,0.9196,0.32355,0.30358,0.79896,0.000720999,0.000720999,0.000720999
43,10221.8,0.32126,0.32111,0.83362,0.99221,0.98719,0.99439,0.91908,0.34213,0.31275,0.80021,0.000709446,0.000709446,0.000709446
44,10452.3,0.32083,0.31664,0.83279,0.99535,0.98498,0.99429,0.92317,0.31109,0.30149,0.79633,0.000697893,0.000697893,0.000697893
45,10686.8,0.32419,0.31525,0.83411,0.98937,0.99416,0.99472,0.92614,0.30706,0.294,0.79659,0.000686341,0.000686341,0.000686341
46,10916.7,0.31395,0.30745,0.83081,0.99467,0.99066,0.99454,0.92018,0.31941,0.29626,0.79586,0.000674788,0.000674788,0.000674788
47,11150.3,0.31239,0.30964,0.83497,0.98901,0.9945,0.99273,0.92504,0.30624,0.28948,0.79648,0.000663236,0.000663236,0.000663236
48,11374.5,0.30922,0.30623,0.83243,0.99077,0.9905,0.99241,0.92623,0.30814,0.29346,0.79587,0.000651683,0.000651683,0.000651683
49,11599.2,0.31003,0.30867,0.83464,0.98848,0.99112,0.99444,0.92626,0.30967,0.29073,0.79694,0.00064013,0.00064013,0.00064013
50,11829.1,0.31156,0.31098,0.82972,0.98915,0.99213,0.99424,0.926,0.30199,0.28709,0.7953,0.000628578,0.000628578,0.000628578
51,12058,0.31427,0.30896,0.8336,0.99211,0.98987,0.99452,0.92454,0.30799,0.29304,0.79411,0.000617025,0.000617025,0.000617025
52,12292.9,0.31111,0.30755,0.83282,0.99479,0.98828,0.99423,0.9288,0.30718,0.30297,0.79718,0.000605473,0.000605473,0.000605473
53,12518.6,0.30769,0.30738,0.83392,0.99117,0.99288,0.9945,0.92627,0.30999,0.29164,0.7968,0.00059392,0.00059392,0.00059392
54,12744.6,0.30146,0.30222,0.82902,0.99224,0.98894,0.994,0.92936,0.30905,0.29966,0.79499,0.000582367,0.000582367,0.000582367
55,12981.1,0.29878,0.29768,0.82586,0.99691,0.98312,0.99424,0.92803,0.29728,0.27787,0.79461,0.000570815,0.000570815,0.000570815
56,13210.8,0.30596,0.30282,0.82945,0.99026,0.9921,0.99394,0.92524,0.31058,0.29098,0.79594,0.000559262,0.000559262,0.000559262
57,13435.6,0.30716,0.29905,0.82877,0.99553,0.98821,0.9943,0.92311,0.30764,0.28574,0.7948,0.00054771,0.00054771,0.00054771
58,13666.3,0.30565,0.2969,0.82911,0.99674,0.98744,0.99293,0.93056,0.29591,0.27396,0.79363,0.000536157,0.000536157,0.000536157
