epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.245,0.59965,1.09499,0.80968,0.96908,0.95571,0.9806,0.83242,0.51286,0.71739,0.75412,0.000942207,0.000942207,0.0678027
2,447.152,0.5294,0.61224,0.79184,0.98531,0.96832,0.97991,0.8262,0.5212,0.55326,0.75378,0.00187158,0.00187158,0.0353987
3,669.271,0.51559,0.55718,0.7868,0.98521,0.97734,0.98542,0.82194,0.50233,0.61122,0.74911,0.00278254,0.00278254,0.00297634
4,897.051,0.50525,0.52848,0.78595,0.98784,0.97471,0.983,0.84089,0.48939,0.47637,0.74183,0.00276035,0.00276035,0.00276035
5,1134.5,0.49277,0.5047,0.78377,0.97973,0.9773,0.98469,0.85844,0.43727,0.45951,0.73866,0.00273274,0.00273274,0.00273274
