sweep_id,run_id,box_gain,cls_gain,copy_paste,dfl_gain,imgsz,lr0,lrf,momentum,mosaic,optimizer,scale,translate,weight_decay,map50_all,map5095_all,precision_all,recall_all,map5095_grasp,training_time_min,map5095_aruco_marker,precision_aruco_marker,recall_aruco_marker,ap50_aruco_marker,map5095_biscuits_pack,precision_biscuits_pack,recall_biscuits_pack,ap50_biscuits_pack,map5095_bookshelf,precision_bookshelf,recall_bookshelf,ap50_bookshelf,map5095_coke_can,precision_coke_can,recall_coke_can,ap50_coke_can,map5095_dinner_table,precision_dinner_table,recall_dinner_table,ap50_dinner_table,map5095_pringles_can,precision_pringles_can,recall_pringles_can,ap50_pringles_can
sqkfh2ka,xl1874f6,6.727973183487745,0.6310518730341383,0.22391814590647077,1.5446293786475251,640,0.0011946554404082398,0.032976061459519715,0.8920482601925039,0.6911371073233462,AdamW,0.09477201613542556,0.1420962307447321,0.00010451146691224474,0.9933333333333333,0.9474741658003014,0.9984262530449438,0.9928212633898266,0.9309245422886647,390.3302729566892,0.9396721574005273,1.0,0.9912374324891247,0.995,0.9250782618830533,0.9995007201918689,1.0,0.995,0.9721779923779923,0.9978494989672451,0.9879518072289156,0.985,0.91898175426975,1.0,0.9777383406209192,0.995,0.9889688332691566,0.9974875034574773,1.0,0.995,0.9399659956013284,0.9957197956530716,1.0,0.995
sqkfh2ka,ls75hyw1,9.064858513667708,0.6608206068442949,0.26021324386200423,1.379472609633524,640,0.0017091221594054094,0.12014731072310784,0.861966949399064,0.9090608726744684,AdamW,0.09066561811141816,0.08771259811598907,0.0005138086165413094,0.9933156028368795,0.9466879603532751,0.997394455480587,0.9956841715312073,0.9294315744316481,383.90504936774573,0.9395819627051732,0.996950232795815,0.989247311827957,0.9948936170212767,0.9294536531349703,0.9982427278935386,1.0,0.995,0.9747987858216289,0.9968885039289855,0.9879518072289156,0.985,0.9041363663913667,1.0,0.996905910130371,0.995,0.9876026785714286,0.9950166021130881,1.0,0.995,0.9445543154950824,0.9972686661520951,1.0,0.995
sqkfh2ka,xr9qau8v,8.60908607591503,0.6311956534028079,0.04800224649525007,1.6829748968489506,640,0.0011907576599183513,0.130270442707296,0.8852888625880246,0.8376309402947161,SGD,0.0673654444517574,0.1918714480467729,0.00019399473703876833,0.9913716814159291,0.9349172508123503,0.997647586294193,0.992850292645232,0.91141996885111,366.89467582305275,0.9177925601776853,0.9960671192921705,0.989247311827957,0.9932300884955753,0.9090153160102628,0.9997438160152157,1.0,0.995,0.9766641537228405,1.0,0.9925458020681268,0.995,0.8958584127072658,0.9962923552800046,0.9753086419753086,0.975,0.9871594757468205,0.9967900324503612,1.0,0.995,0.9230135865092258,0.9969921947274066,1.0,0.995
sqkfh2ka,y8l9hx6m,7.535457096054067,0.3325653247308029,0.016027570953200464,1.694912028600457,640,0.0010850378057883443,0.106741256521111,0.8967734738262739,0.8928243290046161,AdamW,0.3503938475786359,0.18887731703394509,0.00031095508972415207,0.9933156028368795,0.9428529888170124,0.9966815152808458,0.995564825727414,0.9236899789314794,399.3324424942335,0.9361522790616246,0.994682039992855,0.989247311827957,0.9948936170212767,0.9216578158652664,0.9973173339989293,1.0,0.995,0.9739056285455228,0.9949952241619111,0.9879518072289156,0.985,0.9106692649831636,1.0,0.9961898353076113,0.995,0.9884523886306331,0.9965270545282607,1.0,0.995,0.9262805558158634,0.9965674390031194,1.0,0.995
sqkfh2ka,giv6es4k,9.515814572515415,0.6699551762768705,0.14260497936684133,1.2032825489879546,640,0.0017631608060256457,0.1922343794262276,0.9619777434105492,0.7619173728476649,SGD,0.4299850450573275,0.07673821406733712,0.00036027931720155937,0.994962428233705,0.940080250644982,0.9954070853402962,0.9966068685987365,0.917831119498548,369.84393346707026,0.930758687180265,0.9892813733900641,0.9924490986660163,0.9948936170212767,0.9124608303104985,1.0,0.9992403056974878,0.995,0.9832682214447941,0.9931000181521936,0.9879518072289156,0.9948809523809524,0.8973871735216477,0.999147065006232,1.0,0.995,0.9858888044309069,0.9956770400301097,1.0,0.995,0.9307177869817809,0.9952370154631777,1.0,0.995
sqkfh2ka,31utxymf,8.348983643115233,0.4893414477110723,0.029756232473549336,1.5769729321021484,640,0.0034748060408031378,0.17532224691770787,0.8837411026422975,0.9013357743488926,SGD,0.2593143389380987,0.10241340619257068,0.0002560782486974671,0.9948472652218783,0.9374773392485698,0.9965467464801391,0.993297605109999,0.9165010292850441,365.2922361095746,0.9385017049163545,0.9942031341557969,0.989247311827957,0.9947894736842106,0.9096165335719879,1.0,0.9968967852485794,0.995,0.973191762530625,0.9939317687832132,0.9879518072289156,0.9947647058823529,0.8982089381275958,1.0,0.985689726354542,0.9945294117647058,0.9856681558206153,0.9954578354896575,1.0,0.995,0.919676940524238,0.9956877404521671,1.0,0.995
sqkfh2ka,kxkv83pz,8.559434620243891,0.5392083470413094,0.2246237512323295,1.5242612136589218,640,0.001484459229951018,0.015236662302553406,0.9755006268085632,0.8311312804711657,AdamW,0.12254412705630148,0.06455244943216183,0.00011759029359338114,0.9949822695035461,0.9438838258837912,0.996998147634491,0.9982078853046595,0.9231009632729679,360.09130955934523,0.9343906451743169,0.9933393194023699,0.989247311827957,0.9948936170212767,0.9164905685760816,0.9974753844934604,1.0,0.995,0.9835854444400758,0.9973750164727311,1.0,0.995,0.9075333671590189,0.9997305526309146,1.0,0.995,0.9873136577708006,0.9967183797267899,1.0,0.995,0.9339892721824535,0.9973502330806802,1.0,0.995
sqkfh2ka,vnxe0hxx,9.15261674605043,0.5977021257468845,0.08800671702514559,1.9010357469980013,640,0.001169965823052358,0.14153415884719123,0.9369745151684498,0.6889107020025529,SGD,0.4079833876319236,0.16951413232741078,0.0007873689224165677,0.9944851264883091,0.9329249347088636,0.9978148431566,0.9913265900668269,0.9111044195250669,355.7994061470032,0.9136095006967192,0.9933112473601968,0.989247311827957,0.9941176470588234,0.9115618955145164,1.0,0.9925511898049737,0.995,0.9676630753325716,1.0,0.9908523967927221,0.995,0.8974905638081025,0.9961681914415271,0.9753086419753086,0.9927931118710307,0.9854688548203432,0.9986489526656205,1.0,0.995,0.9217557180809293,0.9987606674722554,1.0,0.995
sqkfh2ka,y218rffd,7.756046327520125,0.39784362106652593,0.018813534211737825,1.4202045694299723,640,0.0020861978195133592,0.14671715140285818,0.9472826986240824,0.6754329225148199,AdamW,0.009480674445028203,0.07773759785554063,0.0006272441531628927,0.995,0.9461093331851174,0.9973602135440904,0.9989585847801953,0.926453068511745,382.4539956609408,0.9433908399970526,1.0,0.9937515086811715,0.995,0.918441448821504,0.9975580524127383,1.0,0.995,0.9817996794871794,0.9954844754583697,1.0,0.995,0.9063236953562239,0.9984363817097095,1.0,0.995,0.9890440455765444,0.9961367863365138,1.0,0.995,0.9376562898721994,0.9965455853472113,1.0,0.995
sqkfh2ka,iytnf82v,6.383333171291564,0.45206482302114903,0.032722614281605354,1.136283472752456,640,0.001080593040912786,0.05097294484474465,0.9622283438479868,0.6511119846215687,AdamW,0.31797622742392767,0.1562837064642567,0.00017655060748404796,0.9933156028368795,0.9460114882757065,0.9971753918952344,0.9955649423914285,0.9286729097736498,375.92951169013975,0.9368572269553551,0.9938156626733277,0.989247311827957,0.9948936170212767,0.9201942195409585,0.9990994283293317,1.0,0.995,0.9745426490107123,0.9966374572214917,0.9879518072289156,0.985,0.917356997328637,1.0,0.9961905352916985,0.995,0.9868346415489274,0.9957565134433622,1.0,0.995,0.9402831952696487,0.9977432897038926,1.0,0.995
