epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9061.31,0.37463,0.314,0.5854,0.9913,0.98554,0.99389,0.92447,0.35726,0.28833,0.56035,0.00105274,0.00105274,0.00105274
43,9276.32,0.36374,0.30809,0.58289,0.98981,0.98768,0.99427,0.92545,0.35501,0.28551,0.55939,0.00103631,0.00103631,0.00103631
44,9490.78,0.36043,0.3021,0.5831,0.98575,0.99501,0.99397,0.92299,0.35879,0.28902,0.55995,0.00101987,0.00101987,0.00101987
45,9706.38,0.36356,0.3044,0.58337,0.98587,0.99437,0.99416,0.92395,0.3647,0.28869,0.55884,0.00100343,0.00100343,0.00100343
46,9921.41,0.35686,0.29734,0.58465,0.98814,0.99133,0.99408,0.9236,0.36166,0.28636,0.5586,0.000986998,0.000986998,0.000986998
47,10136.6,0.35718,0.29596,0.58453,0.99446,0.98501,0.99259,0.92414,0.34803,0.28285,0.55836,0.000970562,0.000970562,0.000970562
48,10350.7,0.36122,0.29769,0.58254,0.99138,0.98777,0.99425,0.92878,0.34232,0.28087,0.55763,0.000954127,0.000954127,0.000954127
49,10564.4,0.35287,0.29628,0.58639,0.99104,0.98932,0.99266,0.92477,0.35513,0.28462,0.55868,0.000937691,0.000937691,0.000937691
50,10779,0.35275,0.29688,0.5793,0.99352,0.98726,0.99404,0.92801,0.34375,0.27585,0.5577,0.000921255,0.000921255,0.000921255
51,10993.2,0.36113,0.29952,0.58732,0.99143,0.98873,0.99417,0.93066,0.33845,0.27555,0.55814,0.00090482,0.00090482,0.00090482
52,11207.7,0.34853,0.29316,0.58283,0.99479,0.987,0.99232,0.92725,0.33319,0.27502,0.55656,0.000888384,0.000888384,0.000888384
53,11422.2,0.34312,0.28888,0.58187,0.99393,0.98551,0.99243,0.92427,0.34403,0.2729,0.55932,0.000871949,0.000871949,0.000871949
54,11636.7,0.34217,0.28822,0.58592,0.99105,0.98654,0.9926,0.92565,0.34049,0.27731,0.55963,0.000855513,0.000855513,0.000855513
55,11851.7,0.3464,0.28814,0.58334,0.99099,0.9932,0.99427,0.92754,0.34134,0.27492,0.557,0.000839077,0.000839077,0.000839077
56,12066.2,0.34521,0.28856,0.58379,0.99408,0.98332,0.99396,0.92788,0.33758,0.27923,0.55707,0.000822642,0.000822642,0.000822642
57,12280.4,0.34334,0.28677,0.58528,0.99304,0.99082,0.99286,0.92436,0.34673,0.28147,0.55899,0.000806206,0.000806206,0.000806206
58,12495.4,0.35002,0.28621,0.5836,0.99192,0.98489,0.99249,0.93229,0.3469,0.27153,0.55683,0.00078977,0.00078977,0.00078977
59,12710.2,0.3322,0.27916,0.58244,0.98893,0.99065,0.99255,0.92632,0.34109,0.2711,0.5564,0.000773335,0.000773335,0.000773335
60,12925.8,0.33847,0.28043,0.58603,0.99456,0.98477,0.99249,0.92634,0.34676,0.27474,0.55761,0.000756899,0.000756899,0.000756899
61,13140.5,0.33928,0.28317,0.58468,0.99165,0.988,0.99396,0.92872,0.33677,0.27015,0.55593,0.000740463,0.000740463,0.000740463
62,13355.4,0.33637,0.28001,0.58094,0.98732,0.99528,0.99427,0.92846,0.3362,0.26546,0.55641,0.000724028,0.000724028,0.000724028
63,13570.6,0.33675,0.27902,0.58369,0.98872,0.99589,0.99435,0.9294,0.33281,0.2638,0.555,0.000707592,0.000707592,0.000707592
64,13785.3,0.32759,0.27294,0.57927,0.99376,0.98848,0.99432,0.93218,0.33616,0.26839,0.5555,0.000691156,0.000691156,0.000691156
65,13999,0.3302,0.27213,0.57926,0.99434,0.98834,0.99245,0.93317,0.32601,0.25915,0.55523,0.000674721,0.000674721,0.000674721
66,14213.7,0.32672,0.26818,0.58151,0.9961,0.98334,0.9941,0.93233,0.32999,0.2606,0.55574,0.000658285,0.000658285,0.000658285
67,14428.5,0.32368,0.26495,0.5798,0.9883,0.99275,0.99446,0.93095,0.33092,0.25835,0.55547,0.000641849,0.000641849,0.000641849
68,14641.5,0.32886,0.27146,0.57789,0.98989,0.99355,0.99295,0.93128,0.32632,0.25562,0.55569,0.000625414,0.000625414,0.000625414
69,14855.1,0.32436,0.26621,0.58195,0.99684,0.99062,0.99394,0.93302,0.32951,0.25418,0.55515,0.000608978,0.000608978,0.000608978
70,15069.2,0.32526,0.26529,0.58176,0.99671,0.98771,0.99285,0.93398,0.33054,0.25786,0.55597,0.000592543,0.000592543,0.000592543
71,15283.9,0.31817,0.26268,0.58032,0.99525,0.9931,0.99424,0.93069,0.32841,0.25899,0.55623,0.000576107,0.000576107,0.000576107
72,15498.7,0.31759,0.26359,0.57948,0.99549,0.98892,0.9943,0.9336,0.3295,0.25349,0.55603,0.000559671,0.000559671,0.000559671
73,15713.1,0.31907,0.26669,0.57902,0.99669,0.98831,0.99449,0.93201,0.32743,0.25459,0.55552,0.000543236,0.000543236,0.000543236
74,15928,0.32424,0.26434,0.58083,0.99302,0.98097,0.99453,0.93323,0.32693,0.26531,0.55553,0.0005268,0.0005268,0.0005268
75,16143.5,0.3113,0.25714,0.57644,0.98961,0.99337,0.9941,0.93433,0.32322,0.25288,0.55469,0.000510364,0.000510364,0.000510364
76,16358.3,0.31942,0.26131,0.58114,0.99516,0.9893,0.99458,0.93373,0.32295,0.25472,0.55514,0.000493929,0.000493929,0.000493929
77,16571.8,0.31212,0.25622,0.57547,0.99417,0.98906,0.99428,0.93605,0.32364,0.25733,0.55455,0.000477493,0.000477493,0.000477493
78,16786.3,0.31189,0.25905,0.57775,0.99221,0.99264,0.99443,0.93405,0.32181,0.24856,0.55438,0.000461057,0.000461057,0.000461057
79,17000.8,0.3116,0.25623,0.58268,0.99205,0.99325,0.99434,0.93552,0.32205,0.24935,0.55459,0.000444622,0.000444622,0.000444622
80,17215,0.29786,0.24815,0.58043,0.99147,0.98754,0.99422,0.93459,0.31713,0.2519,0.55471,0.000428186,0.000428186,0.000428186
81,17430,0.30099,0.2473,0.57771,0.99643,0.98904,0.99431,0.93564,0.31542,0.24309,0.55488,0.00041175,0.00041175,0.00041175
82,17644.5,0.30253,0.24885,0.57993,0.99323,0.98969,0.99421,0.93531,0.32074,0.24456,0.55499,0.000395315,0.000395315,0.000395315
83,17858.5,0.30554,0.24752,0.57868,0.99531,0.98924,0.99245,0.93331,0.32051,0.24241,0.55576,0.000378879,0.000378879,0.000378879
84,18072.6,0.30406,0.2473,0.57815,0.99627,0.98744,0.99425,0.93603,0.31689,0.24267,0.55512,0.000362443,0.000362443,0.000362443
85,18286.2,0.2977,0.24412,0.58042,0.98995,0.99324,0.99431,0.93469,0.31712,0.24123,0.55515,0.000346008,0.000346008,0.000346008
86,18501.2,0.30059,0.2445,0.5791,0.98907,0.99556,0.99441,0.93801,0.32375,0.24592,0.55437,0.000329572,0.000329572,0.000329572
87,18716,0.29772,0.24187,0.57746,0.9962,0.98967,0.9944,0.9378,0.31525,0.23617,0.55407,0.000313136,0.000313136,0.000313136
88,18930.9,0.29821,0.23899,0.57782,0.99648,0.98896,0.99437,0.93905,0.31551,0.23774,0.55411,0.000296701,0.000296701,0.000296701
89,19145.7,0.29786,0.2392,0.58027,0.98885,0.99538,0.99429,0.93716,0.30904,0.23289,0.55399,0.000280265,0.000280265,0.000280265
90,19361.2,0.28996,0.23598,0.57832,0.98754,0.99445,0.99406,0.93695,0.31085,0.23517,0.55377,0.00026383,0.00026383,0.00026383
91,19575.1,0.28103,0.21824,0.56247,0.98862,0.99528,0.99419,0.9357,0.31149,0.23307,0.55352,0.000247394,0.000247394,0.000247394
92,19788.7,0.27522,0.21635,0.56078,0.99295,0.99346,0.99458,0.93863,0.31101,0.23285,0.55351,0.000230958,0.000230958,0.000230958
93,20002.8,0.2756,0.21368,0.56283,0.99483,0.99128,0.99428,0.94104,0.31174,0.23346,0.55387,0.000214523,0.000214523,0.000214523
94,20216.2,0.27153,0.21144,0.56513,0.99056,0.995,0.99418,0.93822,0.3081,0.2318,0.55378,0.000198087,0.000198087,0.000198087
95,20429.5,0.27141,0.21172,0.56371,0.99573,0.98679,0.99415,0.93841,0.30923,0.23331,0.55326,0.000181651,0.000181651,0.000181651
96,20642.6,0.27061,0.21052,0.56008,0.99492,0.98811,0.99422,0.93825,0.30615,0.22763,0.55367,0.000165216,0.000165216,0.000165216
97,20856.3,0.2659,0.20776,0.56441,0.99108,0.99242,0.99421,0.9369,0.30822,0.22921,0.55382,0.00014878,0.00014878,0.00014878
98,21068.7,0.26751,0.20669,0.56224,0.98865,0.99491,0.99447,0.93837,0.30669,0.22677,0.55382,0.000132344,0.000132344,0.000132344
99,21283.1,0.26692,0.20528,0.56216,0.9903,0.9967,0.99462,0.93793,0.30463,0.22631,0.55394,0.000115909,0.000115909,0.000115909
100,21498.1,0.26339,0.20319,0.56152,0.99158,0.99499,0.99458,0.93792,0.30498,0.22287,0.55386,9.9473e-05,9.9473e-05,9.9473e-05
